"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C1,C1,C2";"C_0402_1005Metric";4;"15pF";;;
2;"F1,F1";"R_1206_3216Metric";2;"Polyfuse 600mA";;;
3;"R6,R6,R5,R5";"R_0402_1005Metric";4;"27";;;
4;"C5,C9,C11,C9,C11,C10,C7,C4,C14,C13,C3,C12,C12,C4,C10,C7,C14,C13,C3,C5";"C_0402_1005Metric";20;"100nF";;;
5;"U4,U3,U4,U3";"QFN50P300X250X100-15N";4;"74AHC125BQ_115";;;
6;"R7,R7";"R_0402_1005Metric";2;"180k";;;
7;"D5,D2,D2,D4,D1,D3,D3,D5,D1,D4";"D_0402_1005Metric";10;"D_TVS";;;
8;"C15,C18,C17,C16,C16,C15,C18,C17,C26,C33,C35,C22,C32,C24,C30,C34,C21,C28,C27,C29,C30,C23,C36,C34,C22,C25,C23,C31,C29,C24,C35,C26,C28,C32,C21,C27,C36,C25,C31,C33";"C_0603_1608Metric";40;"10uF";;;
9;"KiKit_FID_B_2,KiKit_FID_B_1,KiKit_FID_B_3,KiKit_FID_B_4,KiKit_FID_T_3,KiKit_FID_T_1,KiKit_FID_T_2,KiKit_FID_T_4";"Fiducial";8;"Fiducial";;;
10;"SW1,SW1";"SW_A6H-2101_OMR";2;"A6H-2101";;;
11;"C8,C6,C6,C8";"C_0402_1005Metric";4;"1uF";;;
12;"Y1,Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";2;"12.000MHz";;;
13;"F2,F2";"R_1206_3216Metric";2;"Polyfuse 200mA";;;
14;"U2,U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";2;"RP2040";;;
15;"J2,J2";"HRS_FH34SRJ-12S-0.5SH_50_";2;"FH34SRJ-12S-0.5SH_50_";;;
16;"R3,R3,R1,R1";"R_0402_1005Metric";4;"1k";;;
17;"U1,U1";"SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";2;"W25Q16JVUXIQ ";;;
