"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C15,C15,C16,C17,C18,C16,C17,C18";"C_0603_1608Metric";8;"10uF";;;
2;"Y1,Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";2;"12.000MHz";;;
3;"U4,U4,U3,U3";"QFN50P300X250X100-15N";4;"74AHC125BQ_115";;;
4;"F2,F2";"R_1206_3216Metric";2;"Polyfuse 200mA";;;
5;"R1,R3,R1,R3";"R_0402_1005Metric";4;"1k";;;
6;"D2,D1,D3,D2,D3,D5,D4,D4,D1,D5";"D_0402_1005Metric";10;"D_TVS";;;
7;"R7,R7";"R_0402_1005Metric";2;"180k";;;
8;"SW1,SW1";"SW_A6H-2101_OMR";2;"A6H-2101";;;
9;"J2,J2";"HRS_FH34SRJ-12S-0.5SH_50_";2;"FH34SRJ-12S-0.5SH_50_";;;
10;"R5,R6,R6,R5";"R_0402_1005Metric";4;"27";;;
11;"C5,C5,C10,C7,C9,C13,C12,C12,C9,C14,C11,C10,C13,C3,C7,C4,C14,C11,C3,C4";"C_0402_1005Metric";20;"100nF";;;
12;"C1,C2,C1,C2";"C_0402_1005Metric";4;"15pF";;;
13;"U1,U1";"SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm";2;"W25Q16JVUXIQ ";;;
14;"C6,C8,C6,C8";"C_0402_1005Metric";4;"1uF";;;
15;"KiKit_FID_B_4,KiKit_FID_B_2,KiKit_FID_B_1,KiKit_FID_B_3,KiKit_FID_T_3,KiKit_FID_T_1,KiKit_FID_T_2,KiKit_FID_T_4";"Fiducial";8;"Fiducial";;;
16;"U2,U2";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";2;"RP2040";;;
17;"F1,F1";"R_1206_3216Metric";2;"Polyfuse 600mA";;;
