Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,15pF,C_0402_1005Metric,56.580009,-99.8,180,bottom
C1,15pF,C_0402_1005Metric,21.580009,-99.8,180,bottom
C2,15pF,C_0402_1005Metric,54.420009,-96.35,0,bottom
C2,15pF,C_0402_1005Metric,19.420009,-96.35,0,bottom
C3,100nF,C_0402_1005Metric,70.100009,-103.184,-90,bottom
C3,100nF,C_0402_1005Metric,35.100009,-103.184,-90,bottom
C4,100nF,C_0402_1005Metric,21.780009,-96.625,180,bottom
C4,100nF,C_0402_1005Metric,56.780009,-96.625,180,bottom
C5,100nF,C_0402_1005Metric,33.380009,-98.315,0,bottom
C5,100nF,C_0402_1005Metric,68.380009,-98.315,0,bottom
C6,1uF,C_0402_1005Metric,32.880009,-95.9,0,bottom
C6,1uF,C_0402_1005Metric,67.880009,-95.9,0,bottom
C7,100nF,C_0402_1005Metric,31.520009,-93.643,180,bottom
C7,100nF,C_0402_1005Metric,66.520009,-93.643,180,bottom
C8,1uF,C_0402_1005Metric,67.880009,-94.893,0,bottom
C8,1uF,C_0402_1005Metric,32.880009,-94.893,0,bottom
C9,100nF,C_0402_1005Metric,35.320009,-97.743,0,bottom
C9,100nF,C_0402_1005Metric,70.320009,-97.743,0,bottom
C10,100nF,C_0402_1005Metric,67.100009,-102.58,-90,bottom
C10,100nF,C_0402_1005Metric,32.100009,-102.58,-90,bottom
C11,100nF,C_0402_1005Metric,29.600009,-93.55,180,bottom
C11,100nF,C_0402_1005Metric,64.600009,-93.55,180,bottom
C12,100nF,C_0402_1005Metric,61.652902,-103.199892,0,bottom
C12,100nF,C_0402_1005Metric,26.652902,-103.199892,0,bottom
C13,100nF,C_0402_1005Metric,62.000009,-93.55,0,bottom
C13,100nF,C_0402_1005Metric,27.000009,-93.55,0,bottom
C14,100nF,C_0402_1005Metric,21.780009,-97.6,180,bottom
C14,100nF,C_0402_1005Metric,56.780009,-97.6,180,bottom
C15,10uF,C_0603_1608Metric,26.000009,-106.7,0,bottom
C15,10uF,C_0603_1608Metric,61.000009,-106.7,0,bottom
C16,10uF,C_0603_1608Metric,50.947902,-107.459892,0,bottom
C16,10uF,C_0603_1608Metric,15.947902,-107.459892,0,bottom
C17,10uF,C_0603_1608Metric,8.600009,-97.475,-90,bottom
C17,10uF,C_0603_1608Metric,43.600009,-97.475,-90,bottom
C18,10uF,C_0603_1608Metric,43.370008,-103.57,-90,bottom
C18,10uF,C_0603_1608Metric,8.370008,-103.57,-90,bottom
D1,D_TVS,D_0402_1005Metric,47.622902,-109.194892,-90,bottom
D1,D_TVS,D_0402_1005Metric,12.622902,-109.194892,-90,bottom
D2,D_TVS,D_0402_1005Metric,25.500009,-105.5,180,bottom
D2,D_TVS,D_0402_1005Metric,60.500009,-105.5,180,bottom
D3,D_TVS,D_0402_1005Metric,71.299955,-110.242839,45,bottom
D3,D_TVS,D_0402_1005Metric,36.299955,-110.242839,45,bottom
D4,D_TVS,D_0402_1005Metric,71.392902,-108.234892,-90,bottom
D4,D_TVS,D_0402_1005Metric,36.392902,-108.234892,-90,bottom
D5,D_TVS,D_0402_1005Metric,63.032902,-105.854892,-90,bottom
D5,D_TVS,D_0402_1005Metric,28.032902,-105.854892,-90,bottom
F1,Polyfuse 600mA,R_1206_3216Metric,57.200009,-106.36,180,bottom
F1,Polyfuse 600mA,R_1206_3216Metric,22.200009,-106.36,180,bottom
F2,Polyfuse 200mA,R_1206_3216Metric,50.470402,-109.389892,180,bottom
F2,Polyfuse 200mA,R_1206_3216Metric,15.470402,-109.389892,180,bottom
J2,FH34SRJ-12S-0.5SH_50_,HRS_FH34SRJ-12S-0.5SH_50_,22.500009,-109.75,180,bottom
J2,FH34SRJ-12S-0.5SH_50_,HRS_FH34SRJ-12S-0.5SH_50_,57.500009,-109.75,180,bottom
KiKit_FID_B_1,Fiducial,Fiducial,3,-16.5,0,bottom
KiKit_FID_B_2,Fiducial,Fiducial,77.000006,-16.5,0,bottom
KiKit_FID_B_3,Fiducial,Fiducial,3,-108.899995,0,bottom
KiKit_FID_B_4,Fiducial,Fiducial,77.000006,-108.899995,0,bottom
R1,1k,R_0402_1005Metric,32.620009,-104.02,0,bottom
R1,1k,R_0402_1005Metric,67.620009,-104.02,0,bottom
R2,10k,R_0402_1005Metric,68.710009,-102.684,180,bottom
R2,10k,R_0402_1005Metric,33.710009,-102.684,180,bottom
R3,1k,R_0402_1005Metric,21.800009,-98.625,0,bottom
R3,1k,R_0402_1005Metric,56.800009,-98.625,0,bottom
R4,10k,R_0402_1005Metric,22.900009,-94.19,-90,bottom
R4,10k,R_0402_1005Metric,57.900009,-94.19,-90,bottom
R5,27,R_0402_1005Metric,35.370009,-96.223,180,bottom
R5,27,R_0402_1005Metric,70.370009,-96.223,180,bottom
R6,27,R_0402_1005Metric,69.830009,-95.173,180,bottom
