Ref,Val,Package,PosX,PosY,Rot,Side
"C1","15pF","C_0402_1005Metric",56.580009,-99.800000,180.000000,bottom
"C1","15pF","C_0402_1005Metric",21.580009,-99.800000,180.000000,bottom
"C2","15pF","C_0402_1005Metric",54.420009,-96.350000,0.000000,bottom
"C2","15pF","C_0402_1005Metric",19.420009,-96.350000,0.000000,bottom
"C3","100nF","C_0402_1005Metric",35.100009,-103.184000,-90.000000,bottom
"C3","100nF","C_0402_1005Metric",70.100009,-103.184000,-90.000000,bottom
"C4","100nF","C_0402_1005Metric",21.780009,-96.625000,180.000000,bottom
"C4","100nF","C_0402_1005Metric",56.780009,-96.625000,180.000000,bottom
"C5","100nF","C_0402_1005Metric",68.380009,-98.315000,0.000000,bottom
"C5","100nF","C_0402_1005Metric",33.380009,-98.315000,0.000000,bottom
"C6","1uF","C_0402_1005Metric",67.880009,-95.900000,0.000000,bottom
"C6","1uF","C_0402_1005Metric",32.880009,-95.900000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",31.520009,-93.643000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",66.520009,-93.643000,180.000000,bottom
"C8","1uF","C_0402_1005Metric",32.880009,-94.893000,0.000000,bottom
"C8","1uF","C_0402_1005Metric",67.880009,-94.893000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",70.320009,-97.743000,0.000000,bottom
"C9","100nF","C_0402_1005Metric",35.320009,-97.743000,0.000000,bottom
"C10","100nF","C_0402_1005Metric",67.100009,-102.580000,-90.000000,bottom
"C10","100nF","C_0402_1005Metric",32.100009,-102.580000,-90.000000,bottom
"C11","100nF","C_0402_1005Metric",64.600009,-93.550000,180.000000,bottom
"C11","100nF","C_0402_1005Metric",29.600009,-93.550000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",26.652902,-103.199892,0.000000,bottom
"C12","100nF","C_0402_1005Metric",61.652902,-103.199892,0.000000,bottom
"C13","100nF","C_0402_1005Metric",62.000009,-93.550000,0.000000,bottom
"C13","100nF","C_0402_1005Metric",27.000009,-93.550000,0.000000,bottom
"C14","100nF","C_0402_1005Metric",21.780009,-97.600000,180.000000,bottom
"C14","100nF","C_0402_1005Metric",56.780009,-97.600000,180.000000,bottom
"C15","10uF","C_0603_1608Metric",61.000009,-106.700000,0.000000,bottom
"C15","10uF","C_0603_1608Metric",26.000009,-106.700000,0.000000,bottom
"C16","10uF","C_0603_1608Metric",50.947902,-107.459892,0.000000,bottom
"C16","10uF","C_0603_1608Metric",15.947902,-107.459892,0.000000,bottom
"C17","10uF","C_0603_1608Metric",43.600009,-97.475000,-90.000000,bottom
"C17","10uF","C_0603_1608Metric",8.600009,-97.475000,-90.000000,bottom
