Ref,Val,Package,PosX,PosY,Rot,Side
"","","",67.692902,-49.749892,0.000000,top
"","","",67.892902,-17.049892,0.000000,top
"","","",32.892902,-17.049892,0.000000,top
"","","",46.592902,-17.049892,0.000000,top
"","","",11.592902,-17.049892,0.000000,top
"","","",32.692902,-49.749892,0.000000,top
"KiKit_FID_T_1","Fiducial","Fiducial",3.000000,-16.500000,0.000000,top
"KiKit_FID_T_2","Fiducial","Fiducial",77.000006,-16.500000,0.000000,top
"KiKit_FID_T_3","Fiducial","Fiducial",3.000000,-108.899995,0.000000,top
"KiKit_FID_T_4","Fiducial","Fiducial",77.000006,-108.899995,0.000000,top
"KiKit_TO_1","NPTH","NPTH",3.000000,-3.000000,0.000000,top
"KiKit_TO_2","NPTH","NPTH",77.000006,-3.000000,0.000000,top
"KiKit_TO_3","NPTH","NPTH",3.000000,-122.399995,0.000000,top
"KiKit_TO_4","NPTH","NPTH",77.000006,-122.399995,0.000000,top
"N1","~","SK6805-EC14",8.808009,-9.643000,0.000000,top
"N1","~","SK6805-EC14",43.808009,-9.643000,0.000000,top
"N2","~","SK6805-EC14",12.231009,-9.643000,0.000000,top
"N2","~","SK6805-EC14",47.231009,-9.643000,0.000000,top
"N3","~","SK6805-EC14",50.654009,-9.643000,0.000000,top
"N3","~","SK6805-EC14",15.654009,-9.643000,0.000000,top
"N4","~","SK6805-EC14",54.077009,-9.643000,0.000000,top
"N4","~","SK6805-EC14",19.077009,-9.643000,0.000000,top
"N5","~","SK6805-EC14",22.500009,-9.643000,0.000000,top
"N5","~","SK6805-EC14",57.500009,-9.643000,0.000000,top
"N6","~","SK6805-EC14",25.923009,-9.643000,0.000000,top
"N6","~","SK6805-EC14",60.923009,-9.643000,0.000000,top
"N7","~","SK6805-EC14",64.346009,-9.643000,0.000000,top
"N7","~","SK6805-EC14",29.346009,-9.643000,0.000000,top
"N8","~","SK6805-EC14",67.769009,-9.643000,0.000000,top
"N8","~","SK6805-EC14",32.769009,-9.643000,0.000000,top
