Comment,Designator,Footprint,LCSC
1k,"R1-0,R1-1,R3-0,R3-1",R_0402_1005Metric,C106235
27,"R5-0,R5-1,R6-0,R6-1",R_0402_1005Metric,C138021
180k,"R7-0,R7-1",R_0402_1005Metric,C138046
100nF,"C10-0,C10-1,C11-0,C11-1,C12-0,C12-1,C13-0,C13-1,C14-0,C14-1,C3-0,C3-1,C4-0,C4-1,C5-0,C5-1,C7-0,C7-1,C9-0,C9-1",C_0402_1005Metric,C1525
10uF,"C15-0,C15-1,C16-0,C16-1,C17-0,C17-1,C18-0,C18-1",C_0603_1608Metric,C19702
RP2040,"U2-0,U2-1",QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
A6H-2101,"SW1-0,SW1-1",SW_A6H-2101_OMR,C224990
470,"R10-0,R10-1,R11-0,R11-1,R12-0,R12-1,R13-0,R13-1,R14-0,R14-1,R15-0,R15-1,R16-0,R16-1,R9-0,R9-1",R_0402_1005Metric,C25117
W25Q16JVUXIQ ,"U1-0,U1-1",SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335
SK6805-EC14,"N1-0,N1-1,N10-0,N10-1,N100-0,N100-1,N101-0,N101-1,N102-0,N102-1,N103-0,N103-1,N104-0,N104-1,N105-0,N105-1,N106-0,N106-1,N107-0,N107-1,N108-0,N108-1,N109-0,N109-1,N11-0,N11-1,N110-0,N110-1,N111-0,N111-1,N112-0,N112-1,N113-0,N113-1,N114-0,N114-1,N115-0,N115-1,N116-0,N116-1,N117-0,N117-1,N118-0,N118-1,N119-0,N119-1,N12-0,N12-1,N120-0,N120-1,N121-0,N121-1,N122-0,N122-1,N123-0,N123-1,N124-0,N124-1,N125-0,N125-1,N126-0,N126-1,N127-0,N127-1,N128-0,N128-1,N129-0,N129-1,N13-0,N13-1,N130-0,N130-1,N131-0,N131-1,N132-0,N132-1,N133-0,N133-1,N134-0,N134-1,N135-0,N135-1,N136-0,N136-1,N137-0,N137-1,N138-0,N138-1,N139-0,N139-1,N14-0,N14-1,N140-0,N140-1,N141-0,N141-1,N142-0,N142-1,N143-0,N143-1,N144-0,N144-1,N145-0,N145-1,N146-0,N146-1,N147-0,N147-1,N148-0,N148-1,N149-0,N149-1,N15-0,N15-1,N150-0,N150-1,N151-0,N151-1,N152-0,N152-1,N153-0,N153-1,N154-0,N154-1,N155-0,N155-1,N156-0,N156-1,N157-0,N157-1,N158-0,N158-1,N159-0,N159-1,N16-0,N16-1,N160-0,N160-1,N161-0,N161-1,N162-0,N162-1,N163-0,N163-1,N164-0,N164-1,N165-0,N165-1,N166-0,N166-1,N167-0,N167-1,N168-0,N168-1,N169-0,N169-1,N17-0,N17-1,N170-0,N170-1,N171-0,N171-1,N172-0,N172-1,N173-0,N173-1,N174-0,N174-1,N175-0,N175-1,N176-0,N176-1,N177-0,N177-1,N178-0,N178-1,N179-0,N179-1,N18-0,N18-1,N180-0,N180-1,N181-0,N181-1,N182-0,N182-1,N183-0,N183-1,N184-0,N184-1,N185-0,N185-1,N186-0,N186-1,N187-0,N187-1,N188-0,N188-1,N189-0,N189-1,N19-0,N19-1,N190-0,N190-1,N191-0,N191-1,N192-0,N192-1,N193-0,N193-1,N194-0,N194-1,N195-0,N195-1,N196-0,N196-1,N197-0,N197-1,N198-0,N198-1,N199-0,N199-1,N2-0,N2-1,N20-0,N20-1,N200-0,N200-1,N201-0,N201-1,N202-0,N202-1,N203-0,N203-1,N204-0,N204-1,N205-0,N205-1,N206-0,N206-1,N207-0,N207-1,N208-0,N208-1,N209-0,N209-1,N21-0,N21-1,N210-0,N210-1,N211-0,N211-1,N212-0,N212-1,N213-0,N213-1,N214-0,N214-1,N215-0,N215-1,N216-0,N216-1,N217-0,N217-1,N218-0,N218-1,N219-0,N219-1,N22-0,N22-1,N220-0,N220-1,N221-0,N221-1,N222-0,N222-1,N223-0,N223-1,N224-0,N224-1,N225-0,N225-1,N226-0,N226-1,N227-0,N227-1,N228-0,N228-1,N229-0,N229-1,N23-0,N23-1,N230-0,N230-1,N231-0,N231-1,N232-0,N232-1,N233-0,N233-1,N234-0,N234-1,N235-0,N235-1,N236-0,N236-1,N237-0,N237-1,N238-0,N238-1,N239-0,N239-1,N24-0,N24-1,N240-0,N240-1,N241-0,N241-1,N242-0,N242-1,N243-0,N243-1,N244-0,N244-1,N245-0,N245-1,N246-0,N246-1,N247-0,N247-1,N248-0,N248-1,N249-0,N249-1,N25-0,N25-1,N250-0,N250-1,N251-0,N251-1,N252-0,N252-1,N253-0,N253-1,N254-0,N254-1,N255-0,N255-1,N256-0,N256-1,N257-0,N257-1,N258-0,N258-1,N259-0,N259-1,N26-0,N26-1,N260-0,N260-1,N261-0,N261-1,N262-0,N262-1,N263-0,N263-1,N264-0,N264-1,N265-0,N265-1,N266-0,N266-1,N267-0,N267-1,N268-0,N268-1,N269-0,N269-1,N27-0,N27-1,N270-0,N270-1,N271-0,N271-1,N272-0,N272-1,N273-0,N273-1,N274-0,N274-1,N275-0,N275-1,N276-0,N276-1,N277-0,N277-1,N278-0,N278-1,N279-0,N279-1,N28-0,N28-1,N280-0,N280-1,N281-0,N281-1,N282-0,N282-1,N283-0,N283-1,N284-0,N284-1,N285-0,N285-1,N286-0,N286-1,N287-0,N287-1,N288-0,N288-1,N29-0,N29-1,N3-0,N3-1,N30-0,N30-1,N31-0,N31-1,N32-0,N32-1,N33-0,N33-1,N34-0,N34-1,N35-0,N35-1,N36-0,N36-1,N37-0,N37-1,N38-0,N38-1,N39-0,N39-1,N4-0,N4-1,N40-0,N40-1,N41-0,N41-1,N42-0,N42-1,N43-0,N43-1,N44-0,N44-1,N45-0,N45-1,N46-0,N46-1,N47-0,N47-1,N48-0,N48-1,N49-0,N49-1,N5-0,N5-1,N50-0,N50-1,N51-0,N51-1,N52-0,N52-1,N53-0,N53-1,N54-0,N54-1,N55-0,N55-1,N56-0,N56-1,N57-0,N57-1,N58-0,N58-1,N59-0,N59-1,N6-0,N6-1,N60-0,N60-1,N61-0,N61-1,N62-0,N62-1,N63-0,N63-1,N64-0,N64-1,N65-0,N65-1,N66-0,N66-1,N67-0,N67-1,N68-0,N68-1,N69-0,N69-1,N7-0,N7-1,N70-0,N70-1,N71-0,N71-1,N72-0,N72-1,N73-0,N73-1,N74-0,N74-1,N75-0,N75-1,N76-0,N76-1,N77-0,N77-1,N78-0,N78-1,N79-0,N79-1,N8-0,N8-1,N80-0,N80-1,N81-0,N81-1,N82-0,N82-1,N83-0,N83-1,N84-0,N84-1,N85-0,N85-1,N86-0,N86-1,N87-0,N87-1,N88-0,N88-1,N89-0,N89-1,N9-0,N9-1,N90-0,N90-1,N91-0,N91-1,N92-0,N92-1,N93-0,N93-1,N94-0,N94-1,N95-0,N95-1,N96-0,N96-1,N97-0,N97-1,N98-0,N98-1,N99-0,N99-1",SK6805-EC14,C2909055
