Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1-0,15pF,C_0402_1005Metric,21.580009,-99.8,0.0,bottom
C1-1,15pF,C_0402_1005Metric,56.580009,-99.8,0.0,bottom
C2-0,15pF,C_0402_1005Metric,19.420009,-96.35,180.0,bottom
C2-1,15pF,C_0402_1005Metric,54.420009,-96.35,180.0,bottom
C3-0,100nF,C_0402_1005Metric,35.100009,-103.184,270.0,bottom
C3-1,100nF,C_0402_1005Metric,70.100009,-103.184,270.0,bottom
C4-0,100nF,C_0402_1005Metric,21.780009,-96.625,0.0,bottom
C4-1,100nF,C_0402_1005Metric,56.780009,-96.625,0.0,bottom
C5-0,100nF,C_0402_1005Metric,33.380009,-98.315,180.0,bottom
C5-1,100nF,C_0402_1005Metric,68.380009,-98.315,180.0,bottom
C6-0,1uF,C_0402_1005Metric,32.880009,-95.9,180.0,bottom
C6-1,1uF,C_0402_1005Metric,67.880009,-95.9,180.0,bottom
C7-0,100nF,C_0402_1005Metric,31.520009,-93.643,0.0,bottom
C7-1,100nF,C_0402_1005Metric,66.520009,-93.643,0.0,bottom
C8-0,1uF,C_0402_1005Metric,32.880009,-94.893,180.0,bottom
C8-1,1uF,C_0402_1005Metric,67.880009,-94.893,180.0,bottom
C9-0,100nF,C_0402_1005Metric,35.320009,-97.743,180.0,bottom
C9-1,100nF,C_0402_1005Metric,70.320009,-97.743,180.0,bottom
C10-0,100nF,C_0402_1005Metric,32.100009,-102.58,270.0,bottom
C10-1,100nF,C_0402_1005Metric,67.100009,-102.58,270.0,bottom
C11-0,100nF,C_0402_1005Metric,29.600009,-93.55,0.0,bottom
C11-1,100nF,C_0402_1005Metric,64.600009,-93.55,0.0,bottom
C12-0,100nF,C_0402_1005Metric,26.652902,-103.199892,180.0,bottom
C12-1,100nF,C_0402_1005Metric,61.652902,-103.199892,180.0,bottom
C13-0,100nF,C_0402_1005Metric,27.000009,-93.55,180.0,bottom
C13-1,100nF,C_0402_1005Metric,62.000009,-93.55,180.0,bottom
