Comment,Designator,Footprint,LCSC
1k,"R1,R3",R_0402_1005Metric,C106235
27,"R5,R6",R_0402_1005Metric,C138021
180k,R7,R_0402_1005Metric,C138046
100nF,"C10,C11,C12,C13,C14,C3,C4,C5,C7,C9",C_0402_1005Metric,C1525
10uF,"C15,C16,C17,C18",C_0603_1608Metric,C19702
RP2040,U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
A6H-2101,SW1,SW_A6H-2101_OMR,C224990
470,"R10,R11,R12,R13,R14,R15,R16,R9",R_0402_1005Metric,C25117
W25Q16JVUXIQ ,U1,SON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335
SK6805-EC14,"N1,N10,N100,N101,N102,N103,N104,N105,N106,N107,N108,N109,N11,N110,N111,N112,N113,N114,N115,N116,N117,N118,N119,N12,N120,N121,N122,N123,N124,N125,N126,N127,N128,N129,N13,N130,N131,N132,N133,N134,N135,N136,N137,N138,N139,N14,N140,N141,N142,N143,N144,N145,N146,N147,N148,N149,N15,N150,N151,N152,N153,N154,N155,N156,N157,N158,N159,N16,N160,N161,N162,N163,N164,N165,N166,N167,N168,N169,N17,N170,N171,N172,N173,N174,N175,N176,N177,N178,N179,N18,N180,N181,N182,N183,N184,N185,N186,N187,N188,N189,N19,N190,N191,N192,N193,N194,N195,N196,N197,N198,N199,N2,N20,N200,N201,N202,N203,N204,N205,N206,N207,N208,N209,N21,N210,N211,N212,N213,N214,N215,N216,N217,N218,N219,N22,N220,N221,N222,N223,N224,N225,N226,N227,N228,N229,N23,N230,N231,N232,N233,N234,N235,N236,N237,N238,N239,N24,N240,N241,N242,N243,N244,N245,N246,N247,N248,N249,N25,N250,N251,N252,N253,N254,N255,N256,N257,N258,N259,N26,N260,N261,N262,N263,N264,N265,N266,N267,N268,N269,N27,N270,N271,N272,N273,N274,N275,N276,N277,N278,N279,N28,N280,N281,N282,N283,N284,N285,N286,N287,N288,N29,N3,N30,N31,N32,N33,N34,N35,N36,N37,N38,N39,N4,N40,N41,N42,N43,N44,N45,N46,N47,N48,N49,N5,N50,N51,N52,N53,N54,N55,N56,N57,N58,N59,N6,N60,N61,N62,N63,N64,N65,N66,N67,N68,N69,N7,N70,N71,N72,N73,N74,N75,N76,N77,N78,N79,N8,N80,N81,N82,N83,N84,N85,N86,N87,N88,N89,N9,N90,N91,N92,N93,N94,N95,N96,N97,N98,N99",SK6805-EC14,C2909055
1uF,"C6,C8",C_0402_1005Metric,C29266
FH34SRJ-12S-0.5SH_50_,J2,HRS_FH34SRJ-12S-0.5SH_50_,C424659
D_TVS,"D1,D2,D3,D4,D5",D_0402_1005Metric,C468904
74AHC125BQ_115,"U3,U4",QFN50P300X250X100-15N,C554218
10k,"R2,R24,R4,R8",R_0402_1005Metric,C60490
12.000MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C7294551
15pF,"C1,C2",C_0402_1005Metric,C76950
Polyfuse 600mA,F1,R_1206_3216Metric,C883122
Polyfuse 200mA,F2,R_1206_3216Metric,C910826
