pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
5.592893,102.450108,0.0,top,,,,,,tht
26.892893,102.450108,0.0,top,,,,,,tht
26.692893,69.750108,0.0,top,,,,,,tht
15.58,19.7,180.0,bottom,C1,,,C_0402_1005Metric,15pF,smt
26.1,16.92,-90.0,bottom,C10,,,C_0402_1005Metric,100nF,smt
23.6,25.95,180.0,bottom,C11,,,C_0402_1005Metric,100nF,smt
20.652893,16.300108,0.0,bottom,C12,,,C_0402_1005Metric,100nF,smt
21.0,25.95,0.0,bottom,C13,,,C_0402_1005Metric,100nF,smt
15.78,21.9,180.0,bottom,C14,,,C_0402_1005Metric,100nF,smt
20.0,12.8,0.0,bottom,C15,,,C_0603_1608Metric,10uF,smt
9.947893,12.040108,0.0,bottom,C16,,,C_0603_1608Metric,10uF,smt
2.6,22.025,-90.0,bottom,C17,,,C_0603_1608Metric,10uF,smt
2.369999,15.93,-90.0,bottom,C18,,,C_0603_1608Metric,10uF,smt
13.42,23.15,0.0,bottom,C2,,,C_0402_1005Metric,15pF,smt
29.1,16.316,-90.0,bottom,C3,,,C_0402_1005Metric,100nF,smt
15.78,22.875,180.0,bottom,C4,,,C_0402_1005Metric,100nF,smt
27.38,21.185,0.0,bottom,C5,,,C_0402_1005Metric,100nF,smt
26.88,23.6,0.0,bottom,C6,,,C_0402_1005Metric,1uF,smt
25.52,25.857,180.0,bottom,C7,,,C_0402_1005Metric,100nF,smt
26.88,24.607,0.0,bottom,C8,,,C_0402_1005Metric,1uF,smt
29.32,21.757,0.0,bottom,C9,,,C_0402_1005Metric,100nF,smt
6.622893,10.305108,-90.0,bottom,D1,,,D_0402_1005Metric,D_TVS,smt
19.5,14.0,180.0,bottom,D2,,,D_0402_1005Metric,D_TVS,smt
30.73584,8.793055,45.0,bottom,D3,,,D_0402_1005Metric,D_TVS,smt
30.107893,13.350108,0.0,bottom,D4,,,D_0402_1005Metric,D_TVS,smt
22.032893,13.645108,-90.0,bottom,D5,,,D_0402_1005Metric,D_TVS,smt
16.2,13.14,180.0,bottom,F1,,,R_1206_3216Metric,Polyfuse 600mA,smt
9.470393,10.110108,180.0,bottom,F2,,,R_1206_3216Metric,Polyfuse 200mA,smt
16.5,9.75,180.0,bottom,J2,,None,HRS_FH34SRJ-12S-0.5SH_50_,FH34SRJ-12S-0.5SH_50_,smt
2.808,109.857,0.0,top,N1,,,SK6805-EC14,SK6805-EC14,smt
2.808,106.434,0.0,top,N10,,,SK6805-EC14,SK6805-EC14,smt
2.808,72.204,0.0,top,N100,,,SK6805-EC14,SK6805-EC14,smt
6.231,72.204,0.0,top,N101,,,SK6805-EC14,SK6805-EC14,smt
9.654,72.204,0.0,top,N102,,,SK6805-EC14,SK6805-EC14,smt
13.077,72.204,0.0,top,N103,,,SK6805-EC14,SK6805-EC14,smt
16.5,72.204,0.0,top,N104,,,SK6805-EC14,SK6805-EC14,smt
19.923,72.204,0.0,top,N105,,,SK6805-EC14,SK6805-EC14,smt
23.346,72.204,0.0,top,N106,,,SK6805-EC14,SK6805-EC14,smt
26.769,72.204,0.0,top,N107,,,SK6805-EC14,SK6805-EC14,smt
30.192,72.204,0.0,top,N108,,,SK6805-EC14,SK6805-EC14,smt
2.808,68.781,0.0,top,N109,,,SK6805-EC14,SK6805-EC14,smt
6.231,106.434,0.0,top,N11,,,SK6805-EC14,SK6805-EC14,smt
6.231,68.781,0.0,top,N110,,,SK6805-EC14,SK6805-EC14,smt
9.654,68.781,0.0,top,N111,,,SK6805-EC14,SK6805-EC14,smt
13.077,68.781,0.0,top,N112,,,SK6805-EC14,SK6805-EC14,smt
16.5,68.781,0.0,top,N113,,,SK6805-EC14,SK6805-EC14,smt
19.923,68.781,0.0,top,N114,,,SK6805-EC14,SK6805-EC14,smt
23.346,68.781,0.0,top,N115,,,SK6805-EC14,SK6805-EC14,smt
26.769,68.781,0.0,top,N116,,,SK6805-EC14,SK6805-EC14,smt
30.192,68.781,0.0,top,N117,,,SK6805-EC14,SK6805-EC14,smt
2.808,65.358,0.0,top,N118,,,SK6805-EC14,SK6805-EC14,smt
6.231,65.358,0.0,top,N119,,,SK6805-EC14,SK6805-EC14,smt
9.654,106.434,0.0,top,N12,,,SK6805-EC14,SK6805-EC14,smt
9.654,65.358,0.0,top,N120,,,SK6805-EC14,SK6805-EC14,smt
13.077,65.358,0.0,top,N121,,,SK6805-EC14,SK6805-EC14,smt
16.5,65.358,0.0,top,N122,,,SK6805-EC14,SK6805-EC14,smt
19.923,65.358,0.0,top,N123,,,SK6805-EC14,SK6805-EC14,smt
23.346,65.358,0.0,top,N124,,,SK6805-EC14,SK6805-EC14,smt
26.769,65.358,0.0,top,N125,,,SK6805-EC14,SK6805-EC14,smt
30.192,65.358,0.0,top,N126,,,SK6805-EC14,SK6805-EC14,smt
2.808,61.935,0.0,top,N127,,,SK6805-EC14,SK6805-EC14,smt
6.231,61.935,0.0,top,N128,,,SK6805-EC14,SK6805-EC14,smt
9.654,61.935,0.0,top,N129,,,SK6805-EC14,SK6805-EC14,smt
13.077,106.434,0.0,top,N13,,,SK6805-EC14,SK6805-EC14,smt
13.077,61.935,0.0,top,N130,,,SK6805-EC14,SK6805-EC14,smt
